Primula_alcalina	9
Primula_anvilensis	9
Primula_borealis1	18
Primula_borealis2	18
Primula_egaliksensis	20
Primula_egaliksensis2	20
Primula_egaliksensis3	20
Primula_egaliksensis4	20
Primula_egaliksensis5	20
Primula_egaliksensis6	20
Primula_egaliksensis7	20
Primula_egaliksensis8	20
Primula_fasciculata	9
Primula_farinosa1	9
Primula_farinosa2	9
Primula_farinosa3	9
Primula_farinosa4	9
Primula_farinosa5	9
Primula_farinosa6	9
Primula_farinosa7	9
Primula_farinosa8	9
Primula_farinosa9	9
Primula_halleri1	18
Primula_halleri2	18
Primula_incana1	27
Primula_incana2	27
Primula_incana3	27
Primula_involucrata	11
Primula_ioessa	11
Primula_magellanica1	36
Primula_magellanica2	36
Primula_magellanica3	36
Primula_misstassinica1	9
Primula_misstassinica2	9
Primula_misstassinica3	9
Primula_misstassinica4	9
Primula_misstassinica5	9
Primula_misstassinica6	9
Primula_mistassinica7	9
Primula_mistassinica8	9
Primula_mistassinica9	9
Primula_modesta	9
Primula_nutans1	11
Primula_nutans2	11
Primula_nutans3	11
Primula_nutans4	11
Primula_nutans5	11
Primula_nutans6	11
Primula_nutans7	11
Primula_nutans8	11
Primula_nutans9	11
Primula_scandinavica1	36
Primula_scandinavica2	36
Primula_scotica1	27
Primula_scotica2	27
Primula_specuicola	9
